conditionId,eventKey,title,discipline,marketType,triggerHash,signalTimestamp,signalTime,resolutionTimestamp,resolutionSource,gameStartTimestamp,minutesToStart,pregame,outcome,winner,won,triggerPrice,concentration,signalGrossBuyUsdc,signalOutcomeGrossBuyUsdc,signalOutcomeNetBuyUsdc,closedCostBasisUsdc,realizedPnlUsdc,depositLagSeconds,depositUsdc,preSignalMark,preSignalMarkStalenessSeconds,preMomentum60,preMomentum300,preMomentum900,externalFlow60,externalFlow300,externalFlow900,alignedLeaderCount,largestLeaderUsdc,largestLeaderLeadSeconds,onchainDecoded,onchainMakerOrders,onchainUniqueMakers,onchainUniqueSigners,onchainPriceLevels,onchainPriceRangeCents,onchainWeightedPrice,onchainTargetNotionalUsdc,onchainLargestMakerShare,onchainMakerHhi,onchainRestingAgeMedianSeconds,onchainTakerOrderAgeSeconds,onchainMintMakerOrders,onchainComplementaryMakerOrders,onchainMixedSettlement,onchainNotionalReconciliationPct,signalOutcomeTakerBuyUsdc,signalOutcomeMakerBuyUsdc,makerShareBeforeSignal,triggerFillUsdc,triggerFillShare,takerBurst60Usdc,takerBurst300Usdc,takerBurst900Usdc,takerBurst60Share,takerBurst300Share,signalAgeSeconds,takerRampSeconds,makerProbeSeconds,takerBuyFills,makerBuyFills,priorSellUsdc,takerWeightedPrice,takerPriceDrift,executionMark0,executionWait0,markout0,alignedExecutionMark0,alignedExecutionWait0,executionMark1,executionWait1,markout1,alignedExecutionMark1,alignedExecutionWait1,executionMark2,executionWait2,markout2,alignedExecutionMark2,alignedExecutionWait2,executionMark3,executionWait3,markout3,alignedExecutionMark3,alignedExecutionWait3,executionMark5,executionWait5,markout5,alignedExecutionMark5,alignedExecutionWait5,executionMark10,executionWait10,markout10,alignedExecutionMark10,alignedExecutionWait10,executionMark15,executionWait15,markout15,alignedExecutionMark15,alignedExecutionWait15,executionMark20,executionWait20,markout20,alignedExecutionMark20,alignedExecutionWait20,executionMark30,executionWait30,markout30,alignedExecutionMark30,alignedExecutionWait30,executionMark45,executionWait45,markout45,alignedExecutionMark45,alignedExecutionWait45,executionMark60,executionWait60,markout60,alignedExecutionMark60,alignedExecutionWait60,executionMark90,executionWait90,markout90,alignedExecutionMark90,alignedExecutionWait90,executionMark120,executionWait120,markout120,alignedExecutionMark120,alignedExecutionWait120,executionMark180,executionWait180,markout180,alignedExecutionMark180,alignedExecutionWait180,executionMark300,executionWait300,markout300,alignedExecutionMark300,alignedExecutionWait300,markout900
0x8b9176d24ac65c3ec55f5113c290b7ce97dc026dc506db9f1444879ffcdadd6d,2026-06-19|team falcons|vitality,Counter-Strike: Vitality vs Team Falcons (BO3) - IEM Cologne Major Playoffs,Counter-Strike,series winner,0xb214c9ef5dd831e2a305ff9273a36c1c7028f0f608021558e1787651dc555574,1781894228,2026-06-19T18:37:08+00:00,1781917787,gammaClosedTime,1781897100.0,47.86666666666667,1,Team Falcons,Team Falcons,1,0.32,1.0,32726.316800000004,32726.316800000004,32726.316800000004,124355.32521940001,258443.3228,184,73006.093357,0.32,5,0.009999999600000031,0.010000000000000009,0.020000000000000018,-0.5709744772448795,0.3889445191763105,0.3829077659982228,6,7360.0,171.0,1,12,12,12,1,1.1102230246251565e-14,0.31999999999999995,32726.3168,0.589730158696013,0.4362482520743007,87.23000001907349,4.164999961853027,12,0,0,0.0,32726.316800000004,0.0,0.0,32726.316800000004,1.0,32726.316800000004,32726.316800000004,32726.316800000004,1.0,1.0,0,0,,1,0,0.0,0.32,0.0,0.31999999999999995,3.0,-5.551115123125783e-17,0.32999999885,8.0,0.31999999999999995,2.0,-5.551115123125783e-17,0.32999999885,7.0,0.31999999999999995,1.0,-5.551115123125783e-17,0.32999999885,6.0,0.31999999999999995,0.0,-5.551115123125783e-17,0.32999999885,5.0,0.32000000539999995,0.0,5.399999947197642e-09,0.32999999885,3.0,0.32000000110000004,1.0,1.1000000355032569e-09,0.3299999609,2.0,0.3299999959,2.0,0.009999995900000003,0.3299999959,2.0,0.3299999987,0.0,0.009999998700000012,0.3299999987,0.0,0.32000003629999996,2.0,3.629999995036215e-08,0.3299999812,3.0,0.31999999999999995,0.0,-5.551115123125783e-17,0.3299999849,9.0,0.32999998635,0.0,0.00999998634999999,0.32999998635,0.0,0.3299999895,2.0,0.009999989499999973,0.3299999895,2.0,0.3299999922,0.0,0.009999992199999974,0.3299999922,0.0,0.31000000000000005,2.0,-0.009999999999999953,0.32,5.0,0.3099999008,0.0,-0.010000099200000001,0.3099999008,0.0,3.1299999980749504e-08
0xba8426be65e07294ace564de4163c136fd1eb5bfdcb8888aa7df174173da583e,2026-06-20|aurora gaming|furia,Counter-Strike: Aurora Gaming vs FURIA (BO3) - IEM Cologne Major Playoffs,Counter-Strike,series winner,0xf6587d2e9781b194cfe0831d8220c6e33ef2bdea14aea8db76332798da98227f,1781966873,2026-06-20T14:47:53+00:00,1781977264,gammaClosedTime,1781963100.0,-62.88333333333333,0,FURIA,FURIA,1,0.82,1.0,44630.97999614,44630.97999614,44630.97999614,44903.3993122,11662.0866,75,25228.003071,0.8100000001000001,8,-0.00999999439999999,-0.00999999439999999,0.06999999040000005,-0.6219734828295563,-0.828493427237993,0.11204937924031344,8,24599.9918,522.0,1,8,8,8,1,1.1102230246251565e-14,0.8200000000000001,25084.620000000006,0.9694805661795953,0.9402585404886576,437.3489999771118,6.055999994277954,7,1,1,2.900565212541959e-14,44630.97999614,0.0,0.0,25084.62,0.562045019001812,25084.62,39718.37999714,39718.37999714,0.562045019001812,0.8899284757039869,5202,5202,,3,0,0.0,0.7881890380862923,0.03181096191370769,0.8100000137,2.0,-0.009999986299999986,0.8200000000000001,2.0,0.8100000137,1.0,-0.009999986299999986,0.8200000000000001,1.0,0.8100000137,0.0,-0.009999986299999986,0.8200000000000001,0.0,0.8199999984,0.0,-1.5999999103399887e-09,0.8199999984,0.0,0.8200000000000001,12.0,1.1102230246251565e-16,0.8200000000000001,12.0,0.8200000000000001,7.0,1.1102230246251565e-16,0.8200000000000001,7.0,0.8200000000000001,2.0,1.1102230246251565e-16,0.8200000000000001,2.0,0.8200000000000001,0.0,1.1102230246251565e-16,0.8200000000000001,0.0,0.81,0.0,-0.009999999999999898,0.8199999984,5.0,0.8100000001000001,8.0,-0.00999999989999989,0.8199999902,9.0,0.8100000056,5.0,-0.00999999439999999,0.8199999993,11.0,0.8100000033,12.0,-0.009999996699999958,0.8200000000000001,18.0,0.8100000119999999,5.0,-0.009999988000000015,0.82,8.0,0.8100000169,5.0,-0.009999983099999943,0.8199999995,27.0,0.8100000735,5.0,-0.009999926499999923,0.819999977,56.0,-0.07999999999999996
0xa90ce8b69a218dced329076162df3b79f99596d1dc71d93bd30a64a2c8b6ba3e,0xa90ce8b69a218dced329076162df3b79f99596d1dc71d93bd30a64a2c8b6ba3e,Will Ecuador win on 2026-06-20?,Soccer,outright,0x962150c2f17d07e19dc2490fb73023dfa5c80b1eade3fc69eaebec92597935fd,1782003958,2026-06-21T01:05:58+00:00,1782007700,gammaClosedTime,1782000000.0,-65.96666666666667,0,No,No,1,0.3272879613,1.0,26183.036904,26183.036904,26183.036904,28563.041458800002,56866.0224,17234,27993.00079,0.3100000044,1,4.399999975479574e-09,0.02000000419999992,0.029999958300000018,-0.8490968687818828,0.74738270142011,0.7226093021706399,6,71021.4876021,6.0,1,29,24,24,2,1.000000000000012,0.32728796125,26183.0369,0.5022096844694129,0.29156321963250215,38.84599995613098,5.638999938964844,25,4,1,0.0,26183.036904,0.0,0.0,26183.036904,1.0,26183.036904,26183.036904,26183.036904,1.0,1.0,0,0,,1,0,0.0,0.3272879613,0.0,0.3100000156,0.0,-0.017287945699999974,0.32,6.0,0.3100000075,0.0,-0.017287953799999978,0.32,5.0,0.3100002795,1.0,-0.01728768180000001,0.32,4.0,0.3100002795,0.0,-0.01728768180000001,0.32,3.0,0.31500026685000004,1.0,-0.012287694449999942,0.32,1.0,0.3100000019,0.0,-0.017287959399999997,0.32,8.0,0.3100000128,0.0,-0.017287948499999983,0.32,3.0,0.31000000299999997,4.0,-0.017287958300000017,0.32,10.0,0.310000001,0.0,-0.01728796029999996,0.32,0.0,0.3100000032,0.0,-0.0172879581,0.31999999999999995,22.0,0.3100002795,0.0,-0.01728768180000001,0.31999999999999995,7.0,0.32,4.0,-0.007287961299999979,0.32,4.0,0.3200000003,4.0,-0.0072879610000000095,0.3313760426,7.0,0.33000001609999996,0.0,0.0027120547999999745,0.3399999956,7.0,0.33999999999999997,0.0,0.012712038699999983,0.35,4.0,0.0927120286
0xcdd98374f37c1b588cebd7bc4b217898de6875793bec66708f3964cef7fa6864,2026-06-24|harold mayot|wimbledon qualification atp alejandro moro canas,"Wimbledon, Qualification ATP: Alejandro Moro Canas vs Harold Mayot",Tennis,match winner,0x4b7a97de574826bf8ab47660c964644f052caccaca90cd5a7c613a62259c807c,1782323732,2026-06-24T17:55:32+00:00,1782326012,gammaClosedTime,1782317700.0,-100.53333333333333,0,Alejandro Moro Canas,Alejandro Moro Canas,1,0.862754196,1.0,53898.64520133735,53898.64520133735,53898.64520133735,115167.52944172,22015.0436,3412,68041.442684,0.85,8,0.11499999999999999,0.1800000397,0.19000000000000006,-0.5963943988037568,-0.7528730966942102,0.18314076829951548,1,5392.2137250000005,816.0,1,24,12,12,2,1.0000000000000009,0.8627541959529414,32590.617399999996,0.36178846983119756,0.24381152086626745,9.631500005722046,4.573999881744385,22,2,1,-1.1162656915765312e-14,53898.64520133735,622.5245329999,0.011418033326013476,32590.61740177764,0.6046648720025525,32636.787401777638,53898.64520133735,53898.64520133735,0.6055214798046138,1.0,63,63,61.0,3,5,0.0,0.8037902451612527,0.05896395083874728,0.87,2.0,0.007245803999999967,0.8699999982,2.0,0.87,1.0,0.007245803999999967,0.8699999982,1.0,0.87,0.0,0.007245803999999967,0.8699999982,0.0,0.8699999997,0.0,0.007245803699999942,0.86999999985,0.0,0.8699999921,0.0,0.007245796099999979,0.86999999605,0.0,0.8600001053,1.0,-0.0027540906999999892,0.8599999968,14.0,0.8599999968,9.0,-0.0027541991999999738,0.8599999968,9.0,0.8599999968,4.0,-0.0027541991999999738,0.8599999968,4.0,0.859999656,6.0,-0.002754540000000083,0.859999656,6.0,0.9,0.0,0.037245803999999993,0.9103535068,41.0,0.9103535068,26.0,0.047599310800000016,0.9103535068,26.0,0.95,12.0,0.08724580399999993,,,0.9187371134,32.0,0.05598291739999994,,,0.889999999,23.0,0.027245803000000013,0.889999999,23.0,0.89,18.0,0.027245803999999985,0.9114285714,59.0,0.13624580399999997
0x8706fcec3f5b2710dfab9071c442cc49979215700b3d1a217be994a25fe94fe1,2026-06-24|storm hunter|wimbledon qualification wta aliaksandra sasnovich,"Wimbledon, Qualification WTA: Aliaksandra Sasnovich vs Storm Hunter",Tennis,match winner,0xaed6fbe7288a3a95e04988fcf5d3b7de974a50e36f9a2c5abf07804bfbda354e,1782324329,2026-06-24T18:05:29+00:00,1782327274,gammaClosedTime,1782317100.0,-120.48333333333333,0,Aliaksandra Sasnovich,Aliaksandra Sasnovich,1,0.7639841496,1.0,54711.31150292724,54711.31150292724,54711.31150292724,753799.95974708,246047.2368,4009,68041.442684,0.715000018,8,0.005000043400000043,-0.21499998200000003,-0.20999998200000003,-0.26151982065177576,-0.6918507083536631,-0.4817098987098484,3,2035.2537745344002,78.0,1,42,23,23,8,7.000000000000006,0.7639841495591242,54711.3115,0.41881101680408445,0.260609887365419,5.962499976158142,5.164999961853027,40,2,1,0.0,54711.31150292724,0.0,0.0,54711.31150292724,1.0,54711.31150292724,54711.31150292724,54711.31150292724,1.0,1.0,0,0,,1,0,0.0,0.7639841496,0.0,0.7199999007,0.0,-0.04398424890000008,0.7199999007,0.0,0.79,1.0,0.026015850399999985,0.74,1.0,0.79,0.0,0.026015850399999985,0.74,0.0,0.7778057471,2.0,0.013821597499999894,0.7778057471,2.0,0.7778057471,0.0,0.013821597499999894,0.7778057471,0.0,0.78,2.0,0.016015850399999976,0.78,2.0,0.79,0.0,0.026015850399999985,0.79,0.0,0.8,0.0,0.036015850399999993,0.8,0.0,0.8,3.0,0.036015850399999993,0.81,6.0,0.72,0.0,-0.04398414960000008,0.73,3.0,0.72255751015,2.0,-0.041426639450000025,0.6499999943,3.0,0.5700000072,0.0,-0.19398414240000006,0.5800000000000001,2.0,0.55,6.0,-0.2139841496,0.5599999558,9.0,0.61,0.0,-0.15398414960000006,0.619999999,5.0,0.72,8.0,-0.04398414960000008,0.7299999872,11.0,0.23501585039999995
0x649bd3dc845f647aa8c9a739ad8de245b853224961afd01127de0071c13f84b3,0x649bd3dc845f647aa8c9a739ad8de245b853224961afd01127de0071c13f84b3,Will Morocco win on 2026-06-24?,Soccer,outright,0x4852bb2b1f85530c652c59d0d1140eca18824834456e0732d85828065f6ddb57,1782339970,2026-06-24T22:26:10+00:00,1782346756,gammaClosedTime,1782338400.0,-26.166666666666668,0,Yes,Yes,1,0.5282573835,1.0,88441.6224013499,88441.6224013499,88441.6224013499,90254.67493587999,78081.432,51,90229.501724,0.5199999994,1,3.999999997894577e-09,-0.04500000059999998,-0.010000000600000059,0.8547598905088071,0.0976040162477334,0.3357262468596643,41,119605.44531989754,75.0,1,19,15,15,2,1.0000000000000009,0.5282573834919371,88441.62240000002,0.8284622965035069,0.6940328765584507,11.397000074386597,4.8459999561309814,18,1,1,3.290739096248613e-14,88441.6224013499,0.0,0.0,88441.6224013499,1.0,88441.6224013499,88441.6224013499,88441.6224013499,1.0,1.0,0,0,,1,0,0.0,0.5282573835,0.0,0.52,0.0,-0.008257383499999937,0.52,0.0,0.51999998735,0.0,-0.008257396149999985,0.5199999938,0.0,0.5199999999,1.0,-0.008257383599999946,0.5199999999,1.0,0.5199999999,0.0,-0.008257383599999946,0.5199999999,0.0,0.5100000584,2.0,-0.0182573251,0.5199999997,5.0,0.5100000232999999,0.0,-0.018257360200000017,0.5199999997,0.0,0.51,0.0,-0.018257383499999946,0.51,0.0,0.509999995,1.0,-0.018257388499999916,0.509999995,1.0,0.5099999898,1.0,-0.018257393699999902,0.5099999898,1.0,0.5,0.0,-0.028257383499999955,0.5099999796,1.0,0.5,0.0,-0.028257383499999955,0.5,0.0,0.48,0.0,-0.04825738349999997,0.48,0.0,0.48,0.0,-0.04825738349999997,0.48,0.0,0.4799999981,0.0,-0.048257385399999964,0.4799999982,0.0,0.4699999773,0.0,-0.05825740619999997,0.4699999773,0.0,0.1286012513
0xc9742c7e9339fd79d47f12eee13eedc9c0734c29929d88c2ed3b2ea3c5ea6bd2,2026-06-26|andrej nedic|targu mures felix balshaw,Targu Mures: Felix Balshaw vs Andrej Nedic,Tennis,match winner,0x5cab98ad0e7f9ecdce14f0a4055aaf6ce2131a7ab058f92b1bbeb1469239230b,1782468137,2026-06-26T10:02:17+00:00,1782473435,gammaClosedTime,1782464700.0,-57.28333333333333,0,Felix Balshaw,Felix Balshaw,1,0.7547355808,1.0,27531.433200317602,27531.433200317602,27531.433200317602,29463.082775099996,9236.4149,172,29465.131521,0.7349999848,2,0.11499998479999995,0.11499998479999995,0.1749999847999999,0.49554723473526363,-0.6132954201924634,-0.20139480428848716,1,4647.308540127134,573.0,1,24,15,15,3,2.0000000000000018,0.7547355807912935,27531.433200000003,0.6235045693153382,0.43926893586953586,22.587000012397766,5.878999948501587,23,1,1,1.3213910008476103e-14,27531.433200317602,1459.96,0.050358393952036985,27531.433200317602,1.0,27531.433200317602,27531.433200317602,27531.433200317602,1.0,1.0,0,0,0.0,1,1,0.0,0.7547355808,0.0,0.76,0.0,0.005264419199999981,0.7692616775,0.0,0.75,1.0,-0.004735580800000028,0.75,1.0,0.75,0.0,-0.004735580800000028,0.75,0.0,0.740000021,2.0,-0.014735559800000075,0.7461977186,5.0,0.740000021,0.0,-0.014735559800000075,0.7461977186,3.0,0.74,5.0,-0.014735580800000037,0.73,17.0,0.74,0.0,-0.014735580800000037,0.73,12.0,0.74,1.0,-0.014735580800000037,0.73,7.0,0.7004983418499999,0.0,-0.0542372389500001,0.699999972,8.0,0.69,6.0,-0.06473558080000008,0.6899999564,23.0,0.69,5.0,-0.06473558080000008,0.6899999564,8.0,0.7817460351,30.0,0.02701045429999993,,,0.7817460351,0.0,0.02701045429999993,0.79,53.0,0.797900329,0.0,0.043164748199999936,0.797900329,0.0,0.7756097715,17.0,0.02087419069999996,0.79,44.0,-0.004735580800000028
0x16c962f9ea2ceec16839546ce67597b758fae7cf3d43167e769b296712021a38,2026-06-26|power rangers|team bald,Dota 2: Power Rangers vs Team Bald (BO3) - The International Europe Closed Qualifier Playoffs,Dota 2,series winner,0x23167c632bfb56a79a74ccf2ad016169460f1a7319a72cce0ced776bcbc9abc0,1782489701,2026-06-26T16:01:41+00:00,1782508192,gammaClosedTime,1782493200.0,58.31666666666667,1,Team Bald,Power Rangers,0,0.4154830206,1.0,32286.191902380466,32286.191902380466,32286.191902380466,115292.67060608,-115292.6706,1426,237182.363689,0.41000000000000003,44,0.010000000000000009,0.030000000000000027,0.020000096400000056,0.8738049713193117,-0.8616025927408529,-0.8205686716139512,1,1017.9334004699999,45.0,1,21,17,17,2,1.000000000000012,0.4154830205540661,19061.9455,0.4896268326860971,0.294754724222164,126.70700001716614,5.295000076293945,19,2,1,0.0,32286.191902380466,16060.457324983061,0.3321938041549541,19061.9455021074,0.5904055070893003,19061.9455021074,22631.628302465895,32286.191902380466,0.5904055070893003,0.7009692679425987,834,834,834.0,3,62,0.0,0.40876074044404914,0.006722280155950833,0.40499999025,2.0,-0.010483030349999978,0.4099999805,2.0,0.40499999025,1.0,-0.010483030349999978,0.4099999805,1.0,0.40499999025,0.0,-0.010483030349999978,0.4099999805,0.0,0.39457591979999995,0.0,-0.020907100800000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,51.0,-0.03548302059999997,0.38,51.0,0.38,21.0,-0.03548302059999997,0.38,21.0,0.3700000025,0.0,-0.045483018099999994,0.38,29.0,0.38,6.0,-0.03548302059999997,,,0.4,0.0,-0.015483020599999953,0.41,2.0,-0.05548302059999999
0x2a0e8ce7c309ec8015c4c721dec574ff100b0512ef412a54bb733dc5bef740dc,0x2a0e8ce7c309ec8015c4c721dec574ff100b0512ef412a54bb733dc5bef740dc,Will Brazil win on 2026-07-05?,Soccer,outright,0x4681606ec08551f85a5d325d6d9eb3f8316fbad804154e1e2877633c8e3a8d23,1783279450,2026-07-05T19:24:10+00:00,1783289743,gammaClosedTime,1783281600.0,35.833333333333336,1,No,No,1,0.46,1.0,36404.88339903865,36404.88339903865,36404.88339903865,62654.28044478,71249.4718,30,62096.049657,0.44999999999999996,1,-0.005000009450000009,-7.300000048893196e-09,-1.9300000042576926e-08,-0.24163959598341822,0.17274328318132406,-0.9251187654498907,1,7639.999999460001,281.0,1,50,23,23,1,1.1102230246251565e-14,0.4600000000000001,35849.77339999999,0.38490117764593745,0.21205895117034695,20612.204999923706,3.993000030517578,22,28,1,-2.0295686483149227e-14,61445.81139903865,0.0,0.0,35849.7734,0.5834372202717936,60890.701400000005,61445.81139903865,61445.81139903865,0.9909658610343076,1.0,86,86,,3,0,0.0,0.45999999999819313,1.8068879725774423e-12,0.44999999999999996,0.0,-0.010000000000000064,0.45999999999999996,1.0,0.45999999999999996,0.0,-5.551115123125783e-17,0.45999999999999996,0.0,0.44999999999999996,2.0,-0.010000000000000064,0.45999999999999996,19.0,0.44999999999999996,1.0,-0.010000000000000064,0.45999999999999996,18.0,0.44999999999999996,1.0,-0.010000000000000064,0.45999999999999996,16.0,0.44999999999999996,5.0,-0.010000000000000064,0.45999999999999996,11.0,0.44999999999999996,0.0,-0.010000000000000064,0.45999999999999996,6.0,0.450000011,1.0,-0.009999989000000042,0.45999999999999996,1.0,0.45000000409999996,0.0,-0.009999995900000058,0.45999999999999996,16.0,0.44999999999999996,0.0,-0.010000000000000064,0.45999999999999996,1.0,0.44999999999999996,1.0,-0.010000000000000064,0.45999999999999996,16.0,0.45000000195,1.0,-0.009999998050000014,0.45999999999999996,9.0,0.4500000138,1.0,-0.009999986200000033,0.45999999999999996,15.0,0.45999999999999996,0.0,-5.551115123125783e-17,0.45999999999999996,0.0,0.45499999999999996,3.0,-0.00500000000000006,0.45999999999999996,3.0,-5.551115123125783e-17
0x89ab30a18e87b65cfbfce393abbcc2e55543c75c217aec05a5e44f27278c9666,2026-07-06|alexandra eala|wimbledon wta jasmine paolini,Wimbledon WTA: Jasmine Paolini vs Alexandra Eala,Tennis,match winner,0x9e65fa5074c2d39d2bb7c77280980a758dacb9e8f5dda984add2ac142f1f9fb6,1783346036,2026-07-06T13:53:56+00:00,1783351944,gammaClosedTime,1783341600.0,-73.93333333333334,0,Alexandra Eala,Jasmine Paolini,0,0.29,1.0,28113.460296772857,28113.460296772857,28113.460296772857,30035.28629808,-30037.5981,28,18285.929311,0.28000002739999996,2,2.7399999935617814e-08,-0.13499997260000007,-0.019999972600000082,0.6142459161553954,-0.6988262058859092,-0.4072140158414628,0,0.0,,1,15,8,8,1,2.220446049250313e-14,0.2899999999999999,6312.978099999998,0.6307845737655893,0.5168803315784761,10.934999942779541,4.1540000438690186,15,0,0,-2.8813491425637236e-14,28113.460296772857,0.0,0.0,6312.978099999999,0.22455357801418227,16582.6089,16582.6089,16582.6089,0.5898458860968999,0.5898458860968999,3028,3028,,7,0,0.0,0.3198447525249895,-0.029844752524989526,0.28000000140000003,2.0,-0.009999998599999949,0.29,3.0,0.28000000140000003,1.0,-0.009999998599999949,0.29,2.0,0.28000000140000003,0.0,-0.009999998599999949,0.29,1.0,0.29,0.0,0.0,0.29,0.0,0.2800000212,0.0,-0.009999978799999976,0.289999964,1.0,0.2899999687,1.0,-3.1299999980749504e-08,0.2899999687,1.0,0.28500000000000003,0.0,-0.004999999999999949,0.29,0.0,0.289999982,1.0,-1.7999999990525595e-08,0.289999982,1.0,0.28000000150000004,15.0,-0.00999999849999994,0.25,35.0,0.28000000150000004,0.0,-0.00999999849999994,0.25,20.0,0.25,5.0,-0.03999999999999998,0.25,5.0,0.24,0.0,-0.04999999999999999,0.24,0.0,0.28500000000000003,8.0,-0.004999999999999949,0.28500000000000003,8.0,0.2651730794,14.0,-0.02482692059999997,0.27,32.0,0.3599999938,3.0,0.0699999938,0.3599999938,3.0,0.07
